Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Object ID
dcm	    b1961	2030899	2032317	DNA-cytosine methyltransferase	EG10211
exoD	b0539	566098	566361	DLP12 prophage; putative exonuclease ExoD	G6295
yqeI	b2847	2988502	2989311	putative transcriptional regulator YqeI	G7467
yjhZ	b4657	4534430	4534675	KpLE2 phage-like element; putative acetyltransferase YjhZ	G0-16672
ariR	b1166	1216369	1216635	putative two-component system connector protein AriR	G6606
yoeD	b4642	2078549	2078677		G0-16655
ylbG	b0502	529645	530016	putative DNA-binding transcriptional regulator YlbG	G6273
agaA	b3135	3281122	3281625	putative truncated N-acetylgalactosamine-6-phosphate deacetylase	EG12766
fumE	b2929	3074686	3075195	fumarase E	EG11162
intQ	b1579	1651512	1652708	Qin prophage; putative defective integrase	G6837
dctR	b3507	3654683	3655213	putative DNA-binding transcriptional regulator DctR	EG11889
lafU	b0230	250072	250827	flagellar system protein, promoterless fragment	G6114
phoU	b3724	3906853	3907578	negative regulator of the <i>pho</i> regulon	EG10735
yicT	b4653	3836425	3836556		G0-16669
tldD	b3244	3390583	3392028	metalloprotease subunit TldD	G7689
ykgQ	b4631	317439	317567		G0-10682
mqsA	b3021	3167851	3168246	antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA	G7571
eaeH	b0297	314357	315244	putative porin domain-containing protein EaeH	EG12161
fliZ	b1921	2000473	2001024	DNA-binding transcriptional regulator FliZ	EG11356
agaW	b3134	3280701	3281102	<I>N</I>-acetyl-D-galactosamine specific PTS truncated enzyme IIC component	G7633
hicB	b1438	1509508	1509924	antitoxin of the HicA-HicB toxin-antitoxin system /  DNA-binding transcriptional repressor HicB	G6749
yddJ	b1470	1544384	1544719	uncharacterized protein YddJ	G6771
dgcC	b0385	403703	404818	diguanylate cyclase DgcC	EG11257
aaaE	b4693	1204401	1205537	phage terminase	G0-16720
rnk	    b0610	643557	643967	nucleoside diphosphate kinase regulator	G6337
yibS	b4650	3768639	3768890	RHS family protein YibS	G0-16666
bfd 	b3337	3466797	3466991	bacterioferritin-associated ferredoxin	EG11181
sokA	b4614	3722077	3722111		G0-10604
glnK	b0450	472598	472936	uridylyl-[protein PII-2] // nitrogen regulatory protein PII-2	EG12191
ybbD	b0501	528640	529130	putative uncharacterized protein YbbD	EG11770
relA	b2784	2911417	2913651	GDP/GTP pyrophosphokinase	EG10835
ygeN	b2858	2995314	2996020	putative type III secretion system protein YgeN	G7478
yheO	b3346	3475718	3476440	DNA-binding transcriptional regulator YheO	G7715
ycjV	b1318	1380821	1381789	putative ABC transporter ATP-binding protein YcjV	G6656
ravA	b3746	3929597	3931093	regulatory ATPase RavA	EG11731
xisD	b4633	565858	566079	excisionase	G0-16717
aer	    b3072	3217556	3219076	aerotaxis receptor	G7595
mokA	b4647	3720448	3720632		G0-16663
uspA	b3495	3640111	3640545	universal stress protein A	EG11390
ypaA	b4543	2357816	2358001	protein YpaA	G0-10561
cedA	b1731	1813421	1813663	cell division modulator	G6936
prfH	b0236	253702	254202	putative peptide chain release factor	EG11496
wzzE	b3785	3969031	3970077	enterobacterial common antigen polysaccharide co-polymerase	EG11295
pinH	b2648	2783065	2783304	putative invertase fragment	G7383
rcdA	b0846	887423	887959	RcdA	G6444
jayE	b1152	1206131	1206922	e14 prophage; putative protein JayE	G6596
arpA	b4017	4220301	4222487	regulator of acetyl CoA synthetase	EG11208
ybfI	b4636	716721	716870		G0-16714
sfsA	b0146	160782	161486	sugar fermentation stimulation protein A	EG10949
ttcC	b4638	1434958	1435008	putative tRNA 2-thiocytidine (s(2)C32) synthase	G0-16659
yjjQ	b4365	4603477	4604202	DNA-binding transcriptional repressor YjjQ	G7947
ymjB	b4524	1381789	1381902	hypothetical protein YmjB	G0-10445
yieP	b3755	3940635	3941327	DNA-binding transcriptional dual regulator YieP	EG11733
phnE	b4583	4322443	4323281	phosphonate/phosphate ABC transporter membrane subunit	EG11283
obgE	b3183	3330582	3331754	GTPase ObgE	G7656
tfaS	b2353	2470803	2471105		G7222
yfeC	b2398	2518467	2518811	DNA-binding transcriptional dual regulator YfeC	EG11431
ybfO	b0703	734220	735653	RHS repeats-containing protein YbfO	G6376
ykgA	b0300	316450	317136	putative DNA-binding transcriptional regulator YkgA	G6170
ykiA	b0392	408609	408950	DUF2773 domain-containing protein YkiA	G6231
gatR	b4498			DNA-binding transcriptional repressor GatR, N-terminal fragment	EG12162
yrdF	b4697	3404495	3404637		G0-16676
paaX	b1399	1463539	1464489	DNA-binding transcriptional repressor PaaX	G6720
yoeH	b4641	2068261	2068419		G0-16656
yciT	b1284	1343597	1344346	DNA-binding transcriptional dual regulator YciT	G6638
yhdW	b3268	3419042	3420066	putative ABC transporter periplasmic binding protein YhdW	EG12834
rcnR	b2105	2185524	2185796	DNA-binding transcriptional repressor RcnR	G7137
rhsE	b1456	1527890	1529938	RhsE protein in rhs element	EG10010
yihL	b3872	4060447	4061157	putative DNA-binding transcriptional regulator YihL	EG11838
yjhD	b4281	4506626	4506856	KpLE2 phage-like element; surface adhesin E-like protein	G7902
putA	b1014	1074920	1078882	fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA	EG10801
intG	b1936	2012502	2012780	putative defective phage integrase	G7044
ulaR	b4191	4417698	4418453	DNA-binding transcriptional repressor UlaR	G7854
ykfJ	b0235	253467	253733	RNA ligase superfamily protein YkfJ	G6119
frlR	b3375	3504052	3504783	DNA-binding transcriptional regulator FrlR	G7727
yjdQ	b4654	4362191	4362353		G0-16670
rspR	b1540	1628352	1629038	DNA-binding transcriptional repressor RspR	G6814
ypjI	b4644	2775545	2775816	putative UPF0401 protein YpjI	G0-16653
yidP	b3684	3863899	3864615	putative DNA-binding transcriptional regulator YidP	EG11711
ybeM	b4581	658031	658818	deamidated glutathione amidase, N-terminal fragment	EG12208
hipB	b1508	1592176	1592442	antitoxin/DNA-binding transcriptional repressor HipB	EG10442
yrhA	b3443			putative uncharacterized protein YrhA	G7760
dicA	b1570	1647934	1648341	DNA-binding transcriptional dual regulator DicA	EG10226
yneL	b1506	1590334	1590536	putative HTH-type transcriptional regulator YneL	G6796
ygbI	b2735	2860467	2861234	DNA-binding transcriptional repressor YgbI	G7416
yafU	b0218	238746	239084	putative inner membrane protein	G6102
ycjW	b1320	1382963	1383961	DNA-binding transcriptional repressor YcjW	G6658
yibW	b4651	3768892	3769256		G0-16667
glaR	b2664	2795674	2796336	DNA-binding transcriptional repressor GlaR	EG12386
ykfL	b4627	266553	266774		G0-10614
fabR	b3963	4161067	4161771	DNA-binding transcriptional repressor FabR	EG11394
ybfG	b0691	715947	716597	PF10964 domain-containing protein YbfG	EG11778
nsrR	b4178	4406190	4406615	DNA-binding transcriptional regulator NsrR	EG11212
ygeP	b2862	2997689	2997988	protein YgeP	G7482
agaR	b3131	3277856	3278665	DNA-binding transcriptional repressor AgaR	G7630
rzpR	b1362	1423345	1423644	Rac prophage; putative endopeptidase RzpR	G6686
lsrR	b1512	1600288	1601241	DNA-binding transcriptional repressor LsrR	G6799
aaaD	b4634	581354	581662	DLP12 prophage; protein AaaD	G0-16718
xynR	b0272	288404	289162	CP4-6 prophage; DNA-binding transcriptional repressor XynR	G6144
ysaC	b4648	3750813	3750914		G0-16664
mtlR	b3601	3775572	3776159	transcriptional repressor MtlR	EG11965
yrhC	b4552	3623887	3624132		G0-10563
rho	    b3783	3966417	3967676	transcription termination factor Rho	EG10845
glvG	b4556	3861173	3861987		EG11708
yjiR	b4340	4570162	4571574	fused putative DNA-binding transcriptional regulator/putative aminotransferase YjiR	G7936
pbl 	b2854	2993939	2994441	transglycosylase domain-containing protein Pbl	G7474
yjhI	b4299	4525015	4525803	KpLE2 phage-like element; putative DNA-binding transcriptional regulator YjhI	G7912
stfE	b1157	1209119	1209655	e14 prophage; putative side tail fiber protein fragment	G6599
aidB	b4187	4414275	4415900	isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor	EG11811
ykfN	b4626	263150	263212	YdiA family protein	G0-16715
nrdR	b0413	433002	433451	NrdR transcriptional repressor	EG11320
psaA	b4645	2777972	2777985		G0-16660
gadW	b3515	3663890	3664618	DNA-binding transcriptional dual regulator GadW	EG12242
peaD	b4508	566376	566687		G0-10555
mngR	b0730	765153	765875	DNA-binding transcriptional repressor MngR	EG11109
ydfE	b1577	1650078	1650998	Qin prophage; protein YdfE	EG11304
phnF	b4102	4321697	4322422	putative transcriptional regulator PhnF	EG10715
yfdL	b2355	2471544	2472062	CPS-53 (KpLE1) prophage; putative uncharacterized protein YfdL	G7224
alaS	b2697	2819381	2822011	alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor	EG10034
ybfL	b0705	736900	737961	putative transposase YbfL	G6377
fecR	b4292	4516764	4517717	ferric citrate regulator FecR	EG10292
insI2	b4708	279931	280104		G0-16679
yoeG	b4640	2067360	2067892		G0-16657
yfaH	b2238	2349687	2349893	putative uncharacterized protein YfaH	EG12881
yjhE	b4282	4506861	4507109	KpLE2 phage-like element; putative membrane protein (pseudogene)	G7903
yeeP	b1999	2070786	2071211	CP4-44 prophage; putative GTP-binding protein	G7079
rseC	b2570	2707322	2707801	protein RseC	G7347
ylbH	b0499	527949	528659	putative RHS domain-containing protein YlbH	G6271
rseA	b2572	2708754	2709404	anti-sigma-E factor RseA	EG12341
afuB	b0263	278814	279162	CP4-6 prophage; ABC transporter membrane protein AfuB	G6137
rseB	b2571	2707798	2708754	anti-sigma factor stabilizing protein RseB	G7348
yjhY	b4656	4532050	4532310		G0-16671
flgM	b1071	1129835	1130128	anti-sigma factor for FliA (&sigma;<sup>28</sup>)	G369
pawZ	b4643	2476584	2476598		G0-16654
rpoS	b2741	2866559	2867551	RNA polymerase sigma factor RpoS	EG10510
intB	b4271	4496750	4497940	KpLE2 phage-like element; putative integrase	EG12364
frmR	b0357	379606	379881	DNA-binding transcriptional repressor FrmR	G6209
yifN	b3777	3960012	3960460	putative toxin YifN	G7798
yeeY	b2015	2087329	2088258	putative DNA-binding transcriptional regulator YeeY	G7088
insD7	b1578	1650881	1651537	Qin prophage; putative transposase	G6836
yiaU	b3585	3751992	3752966	DNA-binding transcriptional activator YiaU	EG12289
lfhA	b0229	248358	250070	flagellar system protein, promoterless fragment	G6113
dcuR	b4124	4349315	4350034	DcuR // DNA-binding transcriptional activator DcuR	G7826
yibU	b4652	3769948	3770146		G0-16668
hprR	b1969	2038152	2038823	DNA-binding transcriptional dual regulator HprR-phosphorylated // DNA-binding transcriptional dual regulator HprR	G7057
ykfK	b4628	266776	266967		G0-10615
cueR	b0487	513993	514400	DNA-binding transcriptional dual regulator CueR	G6263
mdtQ	b2139	2227323	2228758	putative multidrug resistance outer membrane protein MdtQ	EG12020
eutR	b2437	2554130	2555182	putative DNA-binding transcriptional regulator EutR	EG12190
yqfE	b2915	3059381	3059611	putative protein YqfE	G7515
basR	b4113	4333282	4333950	DNA-binding transcriptional dual regulator BasR-phosphorylated // DNA-binding transcriptional dual regulator BasR	EG11615
yncI	b1459	1530586	1531639	putative transposase YncI	G6767
ihfB	b0912	963828	964112	integration host factor subunit &beta;	EG10441
oweE	b4692	1204170	1204403	phage replication protein	G0-16719
ptrR	b1526	1614804	1615685	PtrR	G6812
ysaD	b4649	3750918	3751109		G0-16665
yeiE	b2157	2248737	2249618	DNA-binding transcriptional dual regulator YeiE	EG12105
insM	b4561	4508684	4508942		G0-10567
gadE	b3512	3658366	3658893	DNA-binding transcriptional activator GadE	EG11544
yibJ	b3595	3767221	3767922	putative RHS domain-containing protein YibJ	EG11766
srsR	b2921	3066277	3067173	DNA-binding transcriptional activator YgfI	G7518
ygeK	b2855	2994460	2994903	putative DNA-binding transcriptional regulator YgeK	G7475
csgD	b1040	1102546	1103196	DNA-binding transcriptional dual regulator CsgD	G6546
insZ	b4573	1294426	1295322	putative transposase InsZ	G6632
ttdR	b3060	3205324	3206256	Dan transcriptional activator // DNA-binding transcriptional activator Dan	EG12694
ykgP	b4630	313716	313805	putative oxidoreductase	G0-16716
fis	    b3261	3411271	3411567	DNA-binding transcriptional dual regulator Fis	EG10317
yrdE	b4646	3404638	3405031		G0-16661
ypdC	b2382	2501130	2501987	putative AraC-type DNA-binding transcriptional regulator YpdC	G7245
icdC	b4519	1211413	1211577	protein IcdC	G0-10556
yidL	b3680	3860283	3861176	putative DNA-binding transcriptional regulator YidL	EG11707
yjiV	b4486	4574135	4576855	putative uncharacterized protein YjiV	EG11386
uvrY	b1914	1994703	1995359	DNA-binding transcriptional activator UvrY-phosphorylated // DNA-binding transcriptional activator UvrY	EG11140
yfjV	b2641	2772167	2773182	CP4-57 prophage; putative arsenite transporter	G7376
cpxR	b3912	4104972	4105670	CpxR-phosphorylated // DNA-binding transcriptional dual regulator CpxR	EG10020
ymdE	b1028	1095544	1095846	putative uncharacterized protein YmdE	G6535
allS	b0504	531295	532221	DNA-binding transcriptional activator AllS	G6274
gadX	b3516	3664986	3665810	DNA-binding transcriptional dual regulator GadX	EG12243
baeR	b2079	2164276	2164998	DNA-binding transcriptional activator BaeR-phosphorylated // DNA-binding transcriptional activator BaeR	EG11618
b4247	b4247	4472513	4472845		G7878
hns	    b1237	1292509	1292922	DNA-binding transcriptional dual regulator H-NS	EG10457
b1052	b1052	1114211	1114309		G6553
yhaJ	b3105	3253318	3254214	DNA-binding transcriptional activator YhaJ	G7619
C0719		3121358	3121579		G0-8912
rstA	b1608	1682159	1682878	DNA-binding transcriptional regulator RstA-phosphorylated // DNA-binding transcriptional regulator RstA	G6864
G0-10702		3354064	3354169		G0-10702
norR	b2709	2830775	2832289	DNA-binding transcriptional dual regulator NorR	EG12108
b3007	b3007	3151977	3152132		G7562
ybeF	b0629	660425	661378	putative DNA-binding transcriptional regulator YbeF	EG11594
b0725	b0725	758464	758724		G6388
ydcI	b1422	1494148	1495071	DNA-binding transcriptional dual regulator YdcI	G6737
C0614		2653452	2653538		G0-8907
rclR	b0305	320227	321081	DNA-binding transcriptional activator RclR	G6175
ryfB	b4607	2700059	2700377		G0-10597
yeiL	b2163	2255355	2256014	DNA-binding transcriptional activator YeiL	EG12031
b2651	b2651	2785221	2785352		G7386
dhaR	b1201	1251066	1252985	DNA-binding transcriptional dual regulator DhaR	G6628
ykiB	b0370	389897	390115		G6221
yijO	b3954	4147466	4148317	putative DNA-binding transcriptional regulator YijO	EG11913
C0362		1552001	1552386		G0-8902
glrR	b2554	2687469	2688803	DNA-binding transcriptional activator GlrR-phosphorylated // DNA-binding transcriptional activator GlrR	EG11285
istR-1	   	3853118	3853192		G0-10202
yfeR	b2409	2525930	2526856	putative DNA-binding transcriptional regulator YfeR	G7257
b2084	b2084	2167735	2168001		G7121
ycaN	b0900	948660	949568	putative DNA-binding transcriptional regulator YcaN	G6467
b0105	b0105	114407	114514		G6090
yidZ	b3711	3892765	3893724	DNA-binding transcriptional dual regulator YidZ	EG11721
tp2		122697	122857		G0-8894
hypT	b4327	4557378	4558289	DNA-binding transcriptional dual regulator HypT	G7924
ygiA	b3036	3179596	3179856		EG11163
cusR	b0571	594760	595443	DNA-binding transcriptional activator CusR-phosphorylated // DNA-binding transcriptional activator CusR	G6319
b1425	b1425	1498432	1498635		G6740
yhjB	b3520	3671292	3671894	putative DNA-binding transcriptional regulator YhjB	EG12246
ackB					G14
yafC	b0208	229967	230881	DNA-binding transcriptional regulator YafC	EG11649
b4700	b4700	607734	607792		G0-16677
aaeR	b3243	3389520	3390449	DNA-binding transcriptional activator AaeR	G7688
b4250	b4250	4474227	4474391		G7881
decR	b0447	468383	468841	DNA-binding transcriptional activator DecR	G6247
b1354	b1354	1419168	1419344		G6678
alpA	b2624	2758644	2758856	CP4-57 prophage; DNA-binding transcriptional activator AlpA	EG12112
sroD		1888017	1888102		G0-9384
evgA	b2369	2483755	2484369	DNA-binding transcriptional activator EvgA-phosphorylated // DNA-binding transcriptional activator EvgA	EG11609
G0-10703		3367613	3367770		G0-10703
sfsB	b3188	3334909	3335187	putative transcriptional regulator SfsB	EG10656
b3254	b3254	3404516	3404617		G7692
ihfA	b1712	1795253	1795552	integration host factor subunit &alpha;	EG10440
yliL	b0816	852671	852940		G6419
yqhC	b3010	3154262	3155218	DNA-binding transcriptional activator YqhC	G7563
IS128		2653515	2653723		G0-8908
ydeO	b1499	1582926	1583687	DNA-binding transcriptional dual regulator YdeO	G6789
G0-10698		1670949	1671136		G0-10698
yahB	b0316	333501	334433	putative LysR-type DNA-binding transcriptional regulator YahB	G6181
b2653	b2653	2785800	2785973		G7388
sgrR	b0069	75644	77299	DNA-binding transcriptional dual regulator SgrR	EG12094
b0538	b0538	565972	566532		G6294
gutM	b2706	2828621	2828980	DNA-binding transcriptional activator GutM	EG10972
C0465		1972739	1972816		G0-8903
bolA	b0435	454472	454789	DNA binding transcriptional dual regulator BolA-phosphorylated // DNA-binding transcriptional dual regulator BolA	EG10125
ybfK	b4590	720583	720840		G0-10586
ygeV	b2869	3004008	3005786	putative &sigma;<sup>54</sup>-dependent transcriptional regulator YgeV	G7488
b2191	b2191	2288905	2289027		G7149
pgrR	b1328	1391991	1392890	DNA-binding transcriptional repressor PgrR	G6664
b0165	b0165	184987	185118		G6091
argR	b3237	3384703	3385173	DNA-binding transcriptional dual regulator ArgR	EG10070
C0067		238462	238586		G0-8896
sxy	b0959	1021138	1021767	transcriptional coactivator for CRP	G6494
yzfA	b4223	4447976	4448245		EG11213
yfiE	b2577	2714439	2715320	putative LysR-type DNA-binding transcriptional regulator YfiE	EG11785
b1437	b1437	1509250	1509447		G6748
rfaH	b3842	4024333	4024821	transcription antiterminator RfaH	EG10839
b0017	b0017	15869	16177		G6084
rcsD	b2216	2313488	2316160	RcsD-<i>N</i>-phospho-L-histidine // RcsD phosphotransferase	EG12385
sraF	b4448	3238374	3238561		G0-8869
rimI	b4373	4608185	4608631	protein <i>N</i>-acetyltransferase RimI	EG10850
yjgW	b4274	4499599	4499934		G7896
dcuS	b4125	4350031	4351662	DcuS-<i>N</i>-phospho-L-histidine // sensor histidine kinase DcuS	G7827
b1364	b1364	1425178	1425459		G6687
srkA	b3859	4042415	4043401	stress response kinase A	EG11831
sroG		3184570	3184718		G0-9387
phoR	b0400	417889	419184	sensor histidine kinase PhoR	EG10733
G0-10704		4001191	4001334		G0-10704
yfhL	b2562	2699663	2699923	putative 4Fe-4S cluster-containing protein YfhL	G7346
b3975	b3975	4175213	4175368		G7818
basS	b4112	4332181	4333272	BasS-<i>N</i>-phospho-L-histidine // sensor histidine kinase BasS	EG11614
ycdF	b1005	1067918	1068148		G6516
phnO	b4093	4315104	4315538	aminoalkylphosphonate <i>N</i>-acetyltransferase	EG10724
C0664		2835055	2835167		G0-8911
trhP	b2081	2165668	2167029	tRNA wobble base hydroxylation protein TrhP	G7118
G0-10700		2278258	2278498		G0-10700
barA	b2786	2915057	2917813	BarA-<i>N</i>-phospho-L-histidine-861 // BarA-<i>N</i>-phospho-L-histidine-302 // BarA-phospho-L-aspartate-718 // sensor histidine kinase BarA	EG11367
b3004	b3004	3150722	3150967		G7561
hipA	b1507	1590854	1592176	phosphorylated serine/threonine-protein kinase HipA // serine/threonine-protein kinase toxin HipA	EG10443
b0609	b0609	643407	643868		G6336
torS	b0993	1053434	1056178	sensor histidine kinase TorS	G6514
tpke70		2496194	2496629		G0-8906
yjaB	b4012	4213680	4214123	peptidyl-lysine <i>N</i>-acetyltransferase YjaB	EG11207
ybhU	b4591	813114	813251		G0-10587
cpxA	b3911	4103602	4104975	sensor histidine kinase CpxA	EG10163
b2596	b2596	2736913	2737119		G7353
qseC	b3026	3170484	3171833	QseC-<i>N</i>-phospho-L-histidine // sensor histidine kinase QseC	EG12658
b0309	b0309	324408	324620		G6179
uhpB	b3668	3848634	3850136	UhpB-<i>N</i>-phospho-L-histidine // sensor histidine kinase UhpB	EG11052
C0299		1230629	1230707		G0-8898
zraS	b4003	4201926	4203323	ZraS-<i>N</i>-phospho-L-histidine // sensor histidine kinase ZraS	EG10008
fruL	b0079	87860	87946		EG11273
epmB	b4146	4374629	4375657	lysine 2,3-aminomutase	G7836
b1903	b1903	1987444	1987782		G7034
btsS	b2126	2212959	2214644	BtsS-<i>N</i>-phospho-L-histidine // high-affinity pyruvate receptor	EG12007
b0100	b0100	111564	111698		G6089
ptsG	b1101	1157869	1159302	EIIBC<sup>glc</sup> - phosphorylated // glucose-specific PTS enzyme IIBC component	EG10787
tpke11		14080	14167		G0-8893
patZ	b2584	2719953	2722613	peptidyl-lysine <i>N</i>-acetyltransferase	G7350
b0701	b0701	733370	733591		G8203
baeS	b2078	2162876	2164279	BaeS-<i>N</i>-phospho-L-histidine // sensor histidine kinase BaeS	EG11617
b1367	b1367	1426055	1426288		G6690
creC	b4399	4636696	4638120	sensory histidine kinase CreC	EG10730
tisA	b4617	3853443	3853556		G0-9961
sixA	b2340	2456327	2456812	phosphohistidine phosphatase SixA	G7211
G0-10705		4058171	4058242		G0-10705
narQ	b2469	2585731	2587431	sensor histidine kinase NarQ	EG11460
potD	b1123	1181783	1182829	spermidine preferential ABC transporter periplasmic binding protein	EG10752
kdpD	b0695	721730	724414	sensor histidine kinase KdpD	EG10516
eutT	b2459	2573502	2574305	putative ethanolamine utilization cobalamin adenosyltransferase	G7289
epmA	b4155	4382643	4383620	EF-P-lysine lysyltransferase	EG11211
eutC	b2440	2556410	2557297	ethanolamine ammonia-lyase subunit &beta;	EG50007
envZ	b3404	3534516	3535868	sensor histidine kinase EnvZ	EG10269
potA	b1126	1184458	1185594	spermidine preferential ABC transporter ATP binding subunit	EG10749
cusS	b0570	593328	594770	CusS-<i>N</i>-phospho-L-histidine // sensor histidine kinase CusS	G6318
eutG	b2453	2568324	2569511	putative alcohol dehydrogenase EutG	G7283
trhO	b1055	1116807	1117859	tRNA U34 hydroxylase TrhO	EG11116
eutL	b2439	2555741	2556400	putative structural protein, ethanolamine utilization microcompartment	G7271
aceK	b4016	4218596	4220332	isocitrate dehydrogenase kinase/phosphatase	EG10026
puuB	b1301	1364232	1365512	&gamma;-glutamylputrescine oxidase	EG11822
yiaC	b3550	3713652	3714092	peptidyl-lysine <i>N</i>-acetyltransferase YiaC	EG12270
puuE	b1302	1365550	1366815	4-aminobutyrate aminotransferase PuuE	G6646
rcsC	b2218	2317027	2319876	RcsC-phospho-L-aspartate // RcsC-<i>N</i>-phospho-L-histidine // histidine kinase RcsC	EG10822
potG	b0855	894991	896124	putrescine ABC transporter ATP binding subunit	EG11630
atoS	b2219	2320043	2321869	sensor histidine kinase AtoS	EG11667
eutQ	b2460	2574302	2575003	putative ethanolamine utilization acetate kinase EutQ	G7290
phoQ	b1129	1188316	1189776	sensor histidine kinase PhoQ	EG10732
potB	b1125	1183617	1184444	spermidine preferential ABC transporter membrane subunit PotB	EG10750
glrK	b2556	2689671	2691098	GlrK-<i>N</i>-phospho-L-histidine // histidine kinase GlrK	G7345
puuC	b1300	1362743	1364230	&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase	EG10036
evgS	b2370	2484374	2487967	EvgS-<i>N</i>-phospho-L-histidine-721 // EvgS-phospho-L-aspartate // EvgS-<i>N</i>-phospho-L-histidine-1137 // sensor histidine kinase EvgS	EG11610
potH	b0856	896134	897087	putrescine ABC transporter membrane subunit PotH	EG11631
narX	b1222	1275822	1277618	sensor histidine kinase NarX	EG10646
puuA	b1297	1359490	1360908	glutamate-putrescine ligase	G6644
wzzB	b2027	2097321	2098301	O-antigen co-polymerase	G7090
caiC	b0037	36271	37824	carnitine&mdash;CoA ligase	EG11558
rstB	b1609	1682882	1684183	RstB-<i>N</i>-phospho-L-histidine // sensor histidine kinase RstB	EG11233
eutP	b2461	2574978	2575457	putative ethanolamine utilization acetate kinase EutP	G7291
glnL	b3869	4055290	4056339	protein histidine kinase NtrB	EG10387
potC	b1124	1182826	1183620	spermidine preferential ABC transporter membrane subunit PotC	EG10751
citC	b0618	650798	651856	citrate lyase synthetase	G6344
eutE	b2455	2570348	2571751	acetaldehyde dehydrogenase (acetylating) EutE	G7285
ppsR	b1703	1787445	1788278	phosphoenolpyruvate synthetase regulatory protein	EG11132
eutB	b2441	2557318	2558679	ethanolamine ammonia-lyase subunit &alpha;	EG50006
bglF	b3722	3903720	3905597	&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase	EG10115
eutK	b2438	2555228	2555728	putative structural protein, ethanolamine utilization microcompartment	G7270
ddpD	b1484	1558031	1559017	putative D,D-dipeptide ABC transporter ATP-binding subunit DdpD	G6778
micA	b4442	2814802	2814874	small regulatory RNA MicA	G0-8866
potI	b0857	897084	897929	putrescine ABC transporter membrane subunit PotI	EG11632
tcyN	b1917	1997062	1997814	cystine ABC transporter ATP binding subunit	EG12347
dsrA	b1954	2025223	2025313	small regulatory RNA DsrA	G7047
puuD	b1298	1361120	1361884	&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase	G6645
ybhF	b0794	827245	828981	ABC exporter ATP binding subunit YbhF	G6411
stfZ	b4840	104948	105499	small antisense RNA StfZ	G0-17120
